courseLink,courseName,courseSubject,coursePrice,courseProvider,Purchase,Enquiry
https://www.reed.co.uk/courses/php-and-mysql-training-online-courses/245465#/courses/writing?pageno=147,PHP and MySQL Training Online Courses,IT,99,EduCBA,0,0
https://www.reed.co.uk/courses/raspberry-pi-powered-smart-mirror/261847#/courses/writing?pageno=38,Raspberry Pi Powered Smart Mirror,Engineering_Robotics,10,Simpliv LLC,0,0
https://www.reed.co.uk/courses/english-punctuation-mastery/81865#/courses/writing?pageno=17,English: Punctuation Mastery,English_Creative writing,12,OfCourse,40,0
https://www.reed.co.uk/courses/c-programming-online-training-course/255842#/courses/writing?pageno=71,C Programming Online Training Course,IT,99,EduCBA,0,0
https://www.reed.co.uk/courses/unity-3d-game-development--3d-engine-fundamentals/219716#/courses/writing?pageno=96,Unity 3D Game Development | 3D Engine Fundamentals,IT_Coding,300,Stone River eLearning,0,0
https://www.reed.co.uk/courses/create-your-first-kindle-book-in-30-days-with-your-iphone/261664#/courses/writing?pageno=2,Create Your First Kindle Book in 30 Days with Your iPhone!,English_Writing,10,Simpliv LLC,0,0
https://www.reed.co.uk/courses/hadoop-intermediate/231555#/courses/writing?pageno=125,Hadoop Intermediate ,IT_IT support,10,1 Training,1,0
https://www.reed.co.uk/courses/soundtrack-composer-masterclass-score-films-and-video-games/236772#/courses/writing?pageno=146,Soundtrack Composer Masterclass: Score Films And Video Games,Performing arts_Music production,157,Skill Success,1,0
https://www.reed.co.uk/courses/developing-angularjs-web-applications/238409#/courses/writing?pageno=81,Developing AngularJS Web Applications,IT_Database,1740,StayAhead Training,0,0
https://www.reed.co.uk/courses/irca-qms-auditor-lead-auditor-iso-9001/233772#/courses/writing?pageno=115,IRCA QMS Auditor/Lead Auditor (ISO 9001),Business_Business management,1476,British Safety Services,0,0
https://www.reed.co.uk/courses/business-writing/187777#/courses/writing?pageno=6,Business writing   ,Business_Business development,99,Training Works,0,1
https://www.reed.co.uk/courses/business-communication-writing-better-emails/72008#/courses/writing?pageno=14,Business Communication: Writing better emails ,Business,19,OfCourse,24,0
https://www.reed.co.uk/courses/introduction-to-hibernate/238611#/courses/writing?pageno=152,Introduction to Hibernate,IT,1074,StayAhead Training,0,0
https://www.reed.co.uk/courses/communication-strategies--online-cpd-accredited-training-course/216684#/courses/writing?pageno=21,Communication Strategies – Online CPD Accredited Training Course ,Personal development_Career development,10,MHC Training Solutions,3,0
https://www.reed.co.uk/courses/psychology-advanced-level--with-5-hours-of-private-1-on-1-video-tutorials/208528#/courses/writing?pageno=155,Psychology: Advanced Level – *with 5 hours of private 1-on-1 video tutorials!* ,Health &amp; care_Care_Psychology,399,OfCourse,0,0
https://www.reed.co.uk/courses/clear-legal-writing/229907#/courses/writing?pageno=11,Clear Legal Writing,Law,504,BPP Professional Education,0,2
https://www.reed.co.uk/courses/4-in-1-bundle-creating-advertising-and-marketing-your-brand/230695#/courses/writing?pageno=143,"4-in-1 Bundle: Creating, Advertising and Marketing your Brand",Marketing_Advertising,49,Blue Mountain,0,0
https://www.reed.co.uk/courses/comptia-it-security-advanced-practitioner-casp/231619#/courses/writing?pageno=145,CompTIA IT Security Advanced Practitioner - CASP ,IT_IT security,49,1 Training,1,0
https://www.reed.co.uk/courses/developing-nodejs-web-applications-in-house-training/238443#/courses/writing?pageno=114,Developing Node.js Web Applications - In-house Training,IT,,StayAhead Training,0,0
https://www.reed.co.uk/courses/child-psychology-raising-happy-kids-cpd-certified/246812#/courses/writing?pageno=75,Child Psychology: Raising Happy Kids - CPD Certified,Health &amp; care_Child care_Child psychology,10,International Open Academy,29,0
